Don Towsley,University of Massachusetts Amherst,1976,Measurement & Perf. Analysis,University of Texas at Austin,University of Texas at Austin
Donald F. Towsley,University of Massachusetts Amherst,1976,Computer Networks,University of Texas at Austin,University of Texas at Austin
Eliot Moss,University of Massachusetts Amherst,1985,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Emery Berger,University of Massachusetts Amherst,2008,Programming Languages,University of Miami,University of Texas at Austin
Erik G. Learned-Miller,University of Massachusetts Amherst,2004,Computer Vision,Yale University,Massachusetts Institute of Technology
Evangelos Kalogerakis,University of Massachusetts Amherst,2012,Computer Graphics,Technical University of Crete,University of Toronto
Gerome Miklau,University of Massachusetts Amherst,2005,Computer Security,"University of California, Berkeley",University of Washington
Hava T. Siegelmann,University of Massachusetts Amherst,2001,Artificial Intelligence,Technion - Israel Institute of Technology,Rutgers University
Jack C. Wileden,University of Massachusetts Amherst,1978,Programming Languages,University of Michigan,University of Michigan
James Allan,University of Massachusetts Amherst,1994,The Web & Information Retrieval,Grinnell College,Cornell University
James F. Kurose,University of Massachusetts Amherst,1984,Computer Networks,Wesleyan University,Columbia University
Jenna L. Marquard,University of Massachusetts Amherst,2008,,University of Iowa,University of Wisconsin-Madison
Jie Xiong,University of Massachusetts Amherst,2018,Human-Computer Interaction,University of Electronic Science and Technology of China,University College London
Justin Domke,University of Massachusetts Amherst,2017,Machine Learning & Data Mining,Washington University in St. Louis,University of Maryland
Laura M. Haas,University of Massachusetts Amherst,2017,Databases,Harvard University,University of Texas at Austin
Leon Osterweil,University of Massachusetts Amherst,1993,Software Engineering,Princeton University,University of Maryland
Madalina Fiterau,University of Massachusetts Amherst,2018,Machine Learning & Data Mining,Politehnica University of Timișoara,Carnegie Mellon University
Marco Serafini,University of Massachusetts Amherst,2018,,University of Florence,Technische Universität Darmstadt
Mark D. Corner,University of Massachusetts Amherst,2003,Mobile Computing,University of Virginia,University of Michigan
Michael Zink,University of Massachusetts Amherst,2004,Computer Networks,Technische Universität Darmstadt,Technische Universität Darmstadt
Mohit Iyyer,University of Massachusetts Amherst,2018,Computer Networks,Washington University in St. Louis,University of Maryland
Narges Mahyar,University of Massachusetts Amherst,2018,Human-Computer Interaction,Islamic Azad University Central Tehran Branch,University of Victoria
Neil Immerman,University of Massachusetts Amherst,1989,Logic & Verification,Yale University,Cornell University
Peter J. Haas,University of Massachusetts Amherst,1998,Machine Learning & Data Mining,University of Michigan,Stanford University
Philip S. Thomas,University of Massachusetts Amherst,2017,Artificial Intelligence,Case Western Reserve University,University of Massachusetts Amherst
Phillipa Gill,University of Massachusetts Amherst,2013,Computer Networks,University of Calgary,University of Toronto
Prashant J. Shenoy,University of Massachusetts Amherst,1998,Computer Networks,Indian Institute of Technology Bombay,University of Texas at Austin
R. Manmatha,University of Massachusetts Amherst,1997,Interdisciplinary Areas,Indian Institute of Technology Kanpur,University of Massachusetts Amherst
Ramesh K. Sitaraman,University of Massachusetts Amherst,1990,Computer Networks,Indian Institute of Technology Kanpur,Princeton University
René Just,University of Massachusetts Amherst,2018,Software Engineering,Baden-Württemberg Cooperative State University,University of Ulm
Robert Moll,University of Massachusetts Amherst,1973,Algorithms & Complexity,Carnegie Mellon University,Massachusetts Institute of Technology
Roderic A. Grupen,University of Massachusetts Amherst,1988,Artificial Intelligence,Washington University in St. Louis,University of Utah
Rui Wang,University of Massachusetts Amherst,2006,Artificial Intelligence,Zhejiang University,University of Virginia
Shlomo Zilberstein,University of Massachusetts Amherst,1993,Artificial Intelligence,Technion - Israel Institute of Technology,"University of California, Berkeley"
Subhransu Maji,University of Massachusetts Amherst,2014,Algorithms & Complexity,Indian Institute of Technology Kanpur,"University of California, Berkeley"
Sunghoon Ivan Lee,University of Massachusetts Amherst,2016,,Simon Fraser University,"University of California, Los Angeles"
Tauhidur Rahman,University of Massachusetts Amherst,2018,Computer Networks,Bangladesh University of Engineering and Technology,Cornell University
W. Bruce Croft,University of Massachusetts Amherst,1979,The Web & Information Retrieval,Monash University,University of Cambridge
Yair Zick,University of Massachusetts Amherst,,Artificial Intelligence,Hebrew University of Jerusalem,Nanyang Technological University
Yanlei Diao,University of Massachusetts Amherst,2005,Databases,Fudan University,"University of California, Berkeley"
Yuriy Brun,University of Massachusetts Amherst,2012,Software Engineering,Massachusetts Institute of Technology,University of Southern California
